artist_mbtag,sigla
ARA26TC1187B9B8505,CA
ARV1ALU1187FB4D77E,CA
AR0B6VD1187B99C293,CA
ARF1Q9B1187B9ADCC7,CA
ARVEXQ51187B9B8237,CA
ARQ76LG1187B9ACD84,CA
AROI2SN1187B98E9FD,CA
AR2RVGR1187B9B3219,CA
ARF88UQ1187FB5A3E9,CA
AR1GYND1187B9A9CD3,CA
AR6KNZ01187B9A35D1,CA
ARCHVKD1187B9934E9,CA
AR2AGLK1187B9AAAD0,CA
ARCIXWX1187FB4F1DF,CA
AR4IWYN1187FB47DF6,CA
AR5OQSV1187B9953AF,CA
ARWADDH1187B98FDBB,CA
ARN6M7I1187FB4DEAF,CA
AR1RHCO1187B9AF0BF,CA
AR1RMYB1187FB5A59E,CA
ARO0QD41187FB3AB0A,CA
AR82DJK1187B991107,CA
AR5BX3Y1187FB39E93,CA
AR1VB2W1187B9901C5,CA
AR8M6LC1187B998D48,CA
AR7BMMV1187FB5B2D7,CA
ARN1J741187B99EFB9,CA
ARLGWFM1187FB4AC9F,CA
AR89DTT1187B9A7ED5,CA
ARM0RY81187B9AF248,CA
ARKBCZ91187B98F486,CA
AR45KNL1187B992E53,CA
AR0VIQV1187B9978F8,CA
AR5ZGC11187FB417A3,CA
AR8YUQT1187FB531D0,CA
AR7MNIX1187B9A2A68,CA
ARGQANQ11F50C4769E,CA
ARMBR4Y1187B9990EB,CA
ARVKT151187B9A181D,CA
AR1WU211187FB57E2B,CA
ARVMZFK11F50C4A0D2,CA
ARDZQ5U1187B9ADEAE,CA
AR190KO1187B9905EC,CA
ARQ05GM1187B990512,CA
ARKZT1W1187FB54EEA,CA
AR03BDP1187FB5B324,CA
AROGO6K1187B992A39,CA
ARE8LV21187B9B9A6B,CA
ARJ3TAF1187FB4AAB1,CA
AR05KQA1187B9963B3,CA
ARBGXIG122988F409D,CA
ARZEA421187FB5B5BA,CA
ARIHWZG11F50C50E1C,CA
ARQFPCY1187FB552CE,CA
ARW5IF01187B9AEA98,CA
ARLZ3CF1187B98BD56,CA
ARHK7A51187FB411D8,CA
ARV2F621187B993BF6,CA
AR0CANF1187B9AF35F,CA
ARBUOMY1187B99F2EB,CA
ARJUNZD1187B9A5DAE,CA
AREW7CO1187B9A1B0D,CA
AR3KGPQ1187FB53C84,CA
ARWHM281187FB3D381,CA
ARU0HTX1187B98B4C6,CA
ARU230L1187FB4642F,CA
AR8PL5L1187FB37A10,CA
ARZYPLF1187FB45B9B,CA
ARJANQY1187B9A82F7,CA
AR3UJPY1187FB5017B,CA
AR8W8DN1187FB35ED0,CA
ARU9Q5Q1187FB3D6EB,CA
ARGNZOL1187FB5CE7C,CA
AR46CAD1187FB4D84B,CA
AR8I87E1187FB57E2E,CA
ARSKPIJ11F50C50608,CA
ARRDGGE11F4C843F32,CA
ARMW4I01187B98AEF8,CA
AR9SU0S1187FB53D0F,CA
ARUGX5X1187FB468C4,CA
AR06USW1187FB4EACA,CA
AR7BPLI1187FB4A306,CA
ARKT5SH1187B9AE8BF,CA
ARCLJQZ11E2835CE37,CA
ARMSW7X1187FB5B504,CA
ARRSIQ11187B98F216,CA
ARMRCET1187FB52049,CA
ARVNK831187FB48831,CA
ARH42KA11C8A416880,CA
ARHB1961187B9B1732,CA
ARY2ZUX1187B9A266C,CA
ARQUMH41187B9AF699,CA
AR1J7881187B9959D8,CA
ARGS67J1187FB3FC1A,CA
ARVXKTV1187FB44139,CA
ARNILB71187B99EC88,CA
ARSCLMG1187FB3CEE4,CA
AREOGMA1187B9908EF,CA
ARJIWJH1187FB3F6B9,CA
AR573WK1187FB47167,CA
ARROLGK1187FB5738D,CA
ARBWFER11C8A42BA94,CA
ARY1QJF1187B98EF3F,CA
ARSL5SP1187B9A7AE0,CA
ARXICPY122CC3B292D,CA
ARV57NY1187FB3C1DC,CA
ARVZWQ31187B9B8946,CA
ARV4KO21187FB38008,CA
ARS94L01187B9AD297,CA
ARGFFA01187B9A2D11,CA
ARYHPHB12131B4B793,CA
ARWVMJA1187B98AA6E,CA
ARSDFYB11F50C4F736,CA
ARXHFWE1187FB410A9,CA
ARLNMEP11C8A41519E,CA
ARPHDQC11EBCD7802B,CA
ARVVSJC1187FB3A637,CA
ARH0ZIQ1187B99EC94,CA
ARUUP4L1187B9B72EB,CA
ARNFTGS1187B9A465F,CA
ARUTEVU1187B9ACAF9,CA
AR1S5O61187B9898AC,CA
ARWYDXE12420780913,CA
ARMM7T01187B9B31E0,CA
ARIR1PS1187B9AFFFA,CA
ARVQTZP1187FB40283,CA
ARNMHWR11F4C83B384,CA
AR1SFKQ1187B98AF13,CA
ARS755J1187B9920C6,CA
ARTT43U1187B9A9E9B,CA
ARNNQBT1187FB437C1,CA
AROIL3N1187B9A9975,CA
ARRVIZY1187FB41246,CA
ARV38M11187B99424D,CA
ARTBFV61187FB3C250,CA
ARMOHN71187FB3959F,CA
ARV8DLF1187B9A4C7C,CA
ARNDB1X1187B990AA0,CA
ARRTQ3Y1187B9AC835,CA
ARTXGGI1187B9B3D58,CA
AR1E4V11187B99F400,CA
ARDC3571187B9988E1,CA
ARNBFWO1187FB4D1DD,CA
ARWC6LA1187B9B2096,CA
AR6RXJD1187B9B8B23,CO
AR2DKN01187FB3AA39,CO
AR01W2D1187FB5912F,CO
ARLQ5EV1187FB4491D,CO
ARZXVY01187B9972EC,CO
ARKKPRW1187FB4D81E,CO
AROMMO41187B99F8FF,CO
AR4EQ231187B99368F,CO
AR0N9BV1187FB3AD01,CT
ARKGGBJ122ECCBAC65,CT
AR3GYKU1187B996AB9,CT
ARLZ2LD1187B9B17FD,CT
ARUHT3M1187FB44FB4,CT
AR93WAA1187FB42116,CT
ARPKATM1187B9B76E6,CT
ARGHV4C1187B995847,CT
ARQHJLT11F50C4C101,CT
AR58JT11187B9AF4CC,CT
ARC3JTL1187FB4A1CE,DE
ARCICZN11EB9C810B3,FL
ARPOQKS1187B988FE2,FL
ARWLV931187B9B0F5A,FL
AR048JZ1187B9AEB85,FL
AR4YKRO1187B9B7829,FL
AR01IP11187B9AF5D2,FL
AR7Q6QB1187B98A864,FL
ARF4V431187FB3AA41,FL
AR7QAHN1187FB35F8B,FL
AR1Y2PT1187FB5B9CE,FL
AR1NT3H1187B99F67B,FL
AR49A9P1187FB3BBBF,FL
AROZFLY11F50C4F54F,FL
ARG03XQ1187B99A494,FL
ARVTGUZ1187B9AA3DA,FL
ARAPLFD1187B98DABD,FL
ARLBXGO11F4C83E520,FL
AR31D7E1187FB3BC62,FL
ARXJSHW1187B9A2A52,FL
ARUFCZ41187B9A868E,FL
ARRX4FO1187FB58DD6,FL
ARUYGJ31187B9A2FEA,FL
AROBQ0B1187FB404F6,FL
ARMGJ1W1187FB53EEC,FL
ARZL6CE1187FB3F264,FL
ARGXNS21187B999665,FL
ARE9SYU1187B9B9838,FL
AR3JMC51187B9AE49D,FL
ARZTGQE1187FB461D9,FL
ARCK6OL1187B99B25F,FL
AR50Z881187B9BA197,FL
ARDIP5S1187FB57056,FL
AR85E3Q1187B997BCA,FL
ARHP6H31187FB4A38C,FL
ARN2C4X1187B9B363C,FL
ARHSNFO1187B993B7C,FL
AR97EHA1187B98AD5F,FL
ARC7C241187B990F7F,GA
AR9AN471187B99E0DA,GA
ARB8KZ11187B9A21ED,GA
ARDNS031187B9924F0,GA
ARZ185I1187FB5B8C5,GA
AR7KKE01187FB3D87B,GA
ARZCXO91187FB53708,GA
AR059HI1187B9A14D7,GA
ARWQ2DR1187B98FF28,GA
ARWQ3M31187FB4CF01,GA
ARMKO9M1187B9B0848,GA
AR576O51187B990C30,GA
AR4AEIP1187FB4030A,GA
ARDE52X1187FB438CD,GA
ARGKD4W1187B990E04,GA
ARHG53Q1187B9ACBFC,GA
AR3MSAN1187B98F06B,GA
ARRU9GR1187FB43F56,GA
AR95QS71187FB3F49A,GA
ARU2I2B1187FB472E8,GA
ARYW3V11187B99C8C9,GA
ARX2R5A1187FB5B85B,GA
ARSPC9J1187B9A7EA1,GA
ARDNBQU1187B9B6DC2,ID
ARE5OK11187FB450F1,IL
ARN5NHX1187FB4F755,IL
ARWBAI21187B991E2E,IL
ARVOWE21187FB3AE3C,IL
ARAJ5XN1187B9B578B,IL
ARNMWP51187FB3E963,IL
AR3DCWS1187B9A4416,IL
AR7CKG21187B9AD40F,IL
ARTJ9GZ1187B9B46DE,IL
ARXPDRB1187B9AD0B1,IL
ARPFKK81187B99878D,IL
ARYBUAO1187FB3F4EB,IL
ARW9LQ31187FB4336D,IL
AR1IY3B1187B98B384,IL
AR4IYQR1187B98F8F3,IL
ARB29H41187B98F0EF,IL
ARCBYJW1187FB51FD8,IL
ARPFHN61187FB575F6,IL
ARAH4TU1187FB51D28,IL
AR56CNM1187B99442A,IL
ARJ1YJV1187B9955DA,IL
ARF3XJD1187FB38DE0,IL
ARXFWVC1187B98ED6B,IL
ARSRFOY1187B9917DA,IL
ARTB5PP1187FB523B7,IL
ARAG1DX1187B98BB10,IL
AR5995Z1187B9A112B,IL
AROJ4RQ1187FB50102,IL
ARQFPFK1187FB533E1,IL
ARS10A81187B9B6E16,IL
ARJ8ZIQ1187FB3FB5A,IL
ARUEYGC1187FB3D94B,IL
ARRHLSD11F4C845076,IL
ARS8VY21187B990549,IN
ARRGJY81187B9B2878,IN
ARFQ3191187B98AD2E,IN
AR7EL201187B9B85D9,IN
ARGUACZ1187FB3F35C,IN
ARPKK761187FB4D53C,IN
AR0KBXO1187B996460,IA
AR3O0021187B999BC8,IA
ARA82JG1187FB36131,IA
AR9VI9M1187FB410CC,IA
ARIG6O41187B988BDD,KS
ARMZJIZ1241B9CA2DB,KS
AR77B521187FB4CC70,KS
ARRXEJJ11F4C841087,KS
ARLSGUY1187B98AEBC,KS
ARUVPCM1187FB5C281,KS
ARIUHYM1187B9AEAE4,KS
ARN2ZKL1187FB3972B,KS
ARJAOPV1187B9A96D9,KS
ARO4H5M1187FB4384D,KS
ARC15471187FB4640C,KS
ARWGIOC1187FB4CBEF,KS
ARTXJFJ1241B9C55EF,KS
ARZ3E3Z1187FB43F7C,KS
ARIS3CU1187B9B9423,KS
ARAQOK81187B98DD4A,KS
AR6BUE51187B9B5D71,KY
ARDY3451187B9A0226,KY
ARUF71J1187FB511C1,KY
ARPJNT81187B98AD36,KY
ARQ91R31187FB38A88,KY
AR80OOA1187B98E726,KY
ARQVC1L1187FB440DE,KY
AR7W7Z01187B998286,KY
AR5WPYF1187B9B40DA,KY
ARHCHE61187B9AB217,LA
AREY3RN1187B993C5F,LA
ARJIQLJ1187B998316,LA
ARCZ20M1187FB49687,LA
ARCH7RE1187FB5B1B9,LA
ARYZX981187B9A995B,LA
ARDNQ0R1187B9BA1EF,LA
ARALUUG1187FB58696,LA
AR00MBZ1187B9B5DB1,LA
ARP2TO91187B9913EA,LA
AR4W9EZ1187B99282A,LA
ARMX0GY1187B98B62E,LA
AR2BG0R1187FB398C3,LA
ARLB7A11187B9A331A,LA
ARX8PZU1187B9AA7E2,LA
ARPEUYM1187FB4A97A,LA
ARMTE8E1187FB5ACC2,LA
ARKBTPV1187FB38A79,LA
ARBU6D71187B9B5319,LA
AREU6JB1187B9911D4,LA
AR8LD3R1187FB4D08F,LA
AR7EF9H1187FB4D8A3,LA
ARP5P651187FB5397F,LA
ARX0X2D1187B99F515,LA
ARRR4Y81187FB524CE,LA
ARHT0B11187B993CB3,LA
AR1JGQT1187FB56878,LA
ARUDYKB11F4C83C269,LA
AR3OS8N1187B9A5F87,LA
AR43KFF1187B9B74B1,LA
ARA8O8L1187B9AD61D,LA
ARXBOZ01187FB38261,ME
ARWBYIR11F4C83B3FE,MD
ARRYTVF1187FB4A460,MD
AR3JLWI1187FB37141,MD
ARR575U1187B98FB97,MD
ARLIIVS1187FB5583B,MD
AR3SEQM1187B98E9E8,MD
ARQQARA1187FB3F2AB,MD
ARW2Y3Q1187FB38020,MA
ARQ0HOT1187B9A25FA,MA
AROBVNV1187FB3F36C,MA
ARFS01P1187B9A395A,MA
ARLZLMN1187B9AD1CB,MA
ARG9E8O1187B99AB4F,MA
ARCPN4U1187B9A94B7,MA
ARU868Z1187FB47319,MA
AR7XU1L1187B98D481,MA
ARVG8T61187FB440EB,MA
ARB9WJ11187B98BF17,MA
ARYT3BY1187B98C20E,MA
ARPCDZM1187B996876,MA
ARLJWTL1187B98C0DE,MA
ARV2X851187FB41A78,MA
ARQIB731187FB3BE17,MA
AR5ZI3K1187FB38BE0,MA
ARBZAIL1187FB5B1C8,MA
AR0WXWU1187B9AB33F,MA
ARTYIAO11F4C83EE8E,MA
ARDQ9AP1187B9BA3F6,MA
ARXZIHJ1187B9A4ED9,MA
ARZP2M21187FB59C63,MA
AR00A6H1187FB5402A,MI
ARORFIN1187FB3BE5C,MI
ARXP9GE1187FB3ED0E,MI
AR01VU31187B997DA0,MI
ARB336A1187B9A4583,MI
AR1ABAO1187FB531E1,MI
AR9NA5G1187B98F460,MI
AR2G8SU1187FB4A871,MI
ARLR9U31187B9A71AD,MI
ARTDBI61187FB48479,MI
ARK02331187B9A631E,MI
AR77FBJ1187FB49D8D,MI
ARTE6AQ1187B9B2826,MI
AR6UVLC1187B9B4D4C,MI
ARHSAXP11EB9C80B35,MI
ARSAJKR1187FB4C5DC,MI
AR8V1WA1187B9AD9E9,MI
ARGOLWM1187B98CEDE,MI
ARP06GY1187B98B0F0,MI
AR0TZ7T1187B994E37,MI
ARP32X81187B99EBF5,MI
ARQOC971187B9910FA,MI
ARE0X5X1187B993A86,MI
ARHRKTK1187B99E1D5,MI
ARS5Z5P1187FB3F325,MI
AR8ICFK1187FB5A3A0,MI
ARWYVP51187B98C516,MI
ARCEEC91187B9AC4FB,MN
ARCQCYR1187B99367F,MN
ARP96FM1187B9AEA77,MN
ARL43EQ1187FB4D5EC,MN
AR1GW0U1187B9B29FD,MN
AR8K6F31187B99C2BC,MN
ARXGICZ1187FB444DD,MN
ARXSABR11E8A2E29BF,MN
ARGHPIE1187FB3CCDF,MS
ART70HI1187B9A37BC,MS
AR7AOEJ1187FB3D279,MS
AR06M3F1187FB38BED,MS
ARZ05QG1187FB3843E,MS
ARWIMT21187B9B5AEC,MS
AR7JPF81187B988D23,MS
ARR8AIK1187B9A0BCE,MS
ARIN12F1187FB3E92C,MS
ARUT16P1187FB532A4,MS
AREWQSE1187B9AEC6C,MS
ARQDONM1187B9BA1AD,MS
ARWUK9L11C8A42C37B,MS
ARQXAUH1187B9BA010,MS
AR7G0NH1187FB42E47,MS
ARM5JLS1187FB3615B,MS
AR8XG9J1187FB418C1,MS
ARFXRHR1187B98FF09,MS
ARQMTJR1187FB42BB5,MS
ARTDUXM1187B9899ED,MS
ARS7WBX1187B98CA38,MS
AR7TTS41187B9B42D3,MS
ARNEL2O1187FB4421A,MS
AR6BUYW1187B98E221,MS
ARGLOWN1187B99C06D,MS
ART09111187FB5BF48,MS
AR243ZT1187B9A98D2,MS
ARPN0NC1187B991591,MS
ARP5MSK1187B99A54C,MS
AR58SJE1187B9A8E4C,MS
AR1CD5Z1187B98F2C2,MO
AR47JEX1187B995D81,MO
AR0S0EO1187FB490BE,MO
AR56UY11187FB46D49,MO
ARQIWOW11F4C840FF1,MO
ARB1LM61187FB4DDF4,MO
ARW6LIW1187B9966CD,MO
AR358YS1187FB44A29,MO
ARHWO3N1187B98F196,MO
ARPRQSD12086C16679,MO
ARUZS6L1187FB50A56,MO
ARRWDU31187B9B5656,MO
ARDPTGD1187B9AD361,MO
AR9EZGO1187B9A401F,MO
ARJDR071187B98CBBB,MO
ARASWKT1187B9923B7,MO
ARK82DC1187B9A1FEB,MO
ARZH0R61187FB422AE,MO
AR9ST641187B99B4DE,MO
AR08NXW1187B99526D,MO
AR8BMEQ1187B9B4214,MO
ARZWAHK119B8668273,MT
ARIIEQL1187FB5CE68,NE
AR7358P1187B9B6880,NE
ARTE3P61187B9A709D,NE
ARNLE621187B98ECB5,NE
ARBFCK11187FB4C89B,NV
ARGKWSI11F50C488CC,NV
ARW45K91187FB3DE04,NH
AR69GPS1187B99E556,NH
ARYI8NC1187B994FE9,NH
ARA7WV51187FB532B0,NH
ARQXJW51187B9AEE27,NH
ARTOC971187FB37592,NJ
ARUAKAN1187FB48204,NJ
ARALP6I1187B989E27,NJ
ARVML4B1187FB52324,NJ
AR9K6SJ1187B989A32,NJ
AR392MV1187FB3C3FE,NJ
ARRCKE61187B99377F,NJ
ARKQN8X1187B99221C,NJ
ARV21JS1187B99E516,NJ
AR1PCLK1187FB5BBFF,NJ
ARQATWU1187B98EE26,NJ
ARZQ6SW1187B9AD3E2,NJ
AR23EC41187FB4805D,NJ
ARX4D1E1187B9A9C4D,NJ
ARVJVFF1187B9B40D6,NJ
AR4PQ891187FB5CA9F,NJ
ARMAC4T1187FB3FA4C,NJ
AR1ZZOW1187B99BA84,NJ
AR91C8S1187B990901,NJ
ARH4Z031187B9A71F2,NJ
ARV2V751187FB4330F,NJ
AR6UQ8H1187B99DA9E,NM
ARHL8SP1187B98F8A3,NY
AR0WQ1Q1187B992E16,NY
AR6TKMQ1187B9ACEDA,NY
AR19GQN1187FB3ACF5,NY
ARTHKHA1187FB3996A,NY
ARZ7OD71187B9940A7,NY
ARZHLNX1187FB4B8E7,NY
AREN9121187B99D57A,NY
ARBE9XH1187B9A826F,NY
ARHIC3Q1187B9B1773,NY
AR8HQBB1187B99F7BB,NY
AR1Q25M1187B9B0D73,NY
ARMB95F1187B9B5B93,NY
AR9O0LF1187B99D0D1,NY
ARRBINW1187B98AE6D,NY
ARYOPH81187B98AEED,NY
ARD0FN11187B9B25CD,NY
ARKAUWC122988EDAD8,NY
ARXALW01187FB4B466,NY
ARBR7II1187B9B821E,NY
ARG9CID1187B9AB010,NY
ARDBSFT1187B9AC9C1,NY
ARH0Z131187B9B69E9,NY
AROUOZZ1187B9ABE51,NY
ARE815V1187B998A43,NY
ARKMIBT11F4C8430D9,NY
ARB0T441187FB3B064,NY
ARZ7IH41187FB3B8F5,NY
ARO7FES1187B9A59BE,NY
ARCII0J1187FB3A1B4,NY
ARDXWVZ1187B9B52F1,NY
ARRWAD71187FB3FE44,NY
ARGSJXS1187B994788,NY
ARVBG53119B8668924,NY
AR3DWG81187B98E3FA,NY
ARGC7FQ1187FB409CC,NY
AR1Y37Q1187B9B66D2,NY
ARCDQRB11F4C844880,NY
AR8YV1I1187FB45D2B,NY
ARO1D981187B9A0D24,NY
AR52EZT1187B9900BF,NY
AR08DYV1187B99A0D7,NY
ARON0YP1187FB4B465,NY
ARLGUTA1187B9B605F,NY
ARC6UC81187B989062,NY
ARAJPHH1187FB5566A,NY
ARB2M051187FB56FA9,NY
AR0PUK71187B9AC3C0,NY
AR0SZW11187B98C5E5,NY
ARVO6RD1187FB403CA,NY
ARCP94M1187B9B0F56,NY
AR4NREB1187B9AEDAC,NY
ARWZE8O1187B9B8480,NY
ARWZSFC1187FB567BF,NY
ARFG66D1187FB536B6,NY
ARFFDZU1187FB50682,NY
AR0O3AV1187FB4D030,NY
ARMYPSO11F50C49252,NY
AROMB601187B991317,NY
ARGK9MB1187FB37402,NY
ARGJ0911187FB4613F,NY
ARZHXR61187FB3D065,NY
ARA65601187FB57BD9,NY
AREUUVW1187B99A697,NY
ARJR7S11187FB36A2A,NY
AR2JD2Z1187B998A90,NY
AR0WAW61187B98B7D7,NY
AR0LVFQ1187B9A84E0,NY
ARBJI5N1187FB400D0,NY
ARF9N341187B9B9BFB,NY
ARK7ZPW1187B99C170,NY
ARC2BFH1187B98F3C8,NY
ARO5T1P1187B9AC680,NY
ARKU2GK1187B98C8AB,NY
ARPU5CQ1187FB4469F,NY
ARM3QKQ1187FB421E0,NY
ARWY7I71187FB36C3D,NY
ARHOCA51187FB39213,NY
ARM7UY51187B993E17,NY
ARGEKDX1187FB3A5BF,NY
AR0JURX1187FB3C8FF,NY
ARCHKD91187B9A0A42,NY
AR2VROU1187FB532D7,NY
ARRE5MX1187B992292,NY
ARRDRI71187FB46EAA,NY
ARNHMFD1187FB3B3F6,NY
ARU34651187B99A264,NY
ARX6TAQ11C8A415850,NY
AR19SOA1187B98F6E6,NY
ARSDSMG1187B98CB59,NY
ARYZQIU1187FB4BBF8,NY
ARDTECS1187FB538C0,NY
AREENKN1187B98F35D,NY
ARNUFGE1187B9B7881,NY
ARDF6RM1187FB5A409,NY
ARY6EBA1187B9AD525,NY
ARZVEF91187B9AC770,NY
ARRW6DJ1187FB50A67,NY
ARC18161187FB4CF4B,NY
AR80YG31187FB58A13,NY
AR76YOD1187FB46B24,NY
ARE0OLY1187B9AD19F,NY
ARSYOWS1187FB41157,NY
AR6J3X81187FB59A7B,NY
AR9O98A1187FB39621,NY
ARK30AI1187FB3C777,NY
AR0IVSA1187FB4F069,NY
ARUKNSS1187FB435E3,NY
ARNBXZH122988F2C16,NY
ARJ8YLL1187FB3CA93,NY
ARPBNLO1187FB3D52F,NY
AROKDJ41187B9A7700,NY
AR4R84C1187FB3EC16,NY
ARTUXSS1187FB4BD20,NY
ARWEPRZ1187FB4E2BB,NY
AREW0021187B9AF8F9,NY
ARJVTRE1187B9959C0,NY
ARNF6401187FB57032,NY
ARWC3XN1187B9A8D82,NY
ARPGT071187B9A6512,NC
ARUNYOW1187FB43F2A,NC
AR7GUNF1187B990CCF,NC
AR5LZJD1187FB4C5E5,NC
ARTO9UO1187B9B2D47,NC
AR6BHP31187FB365E1,NC
ARKYI5T1187B99334F,NC
ARV1JVD1187B9AD195,NC
AR858UO1187FB437B4,NC
ARA0YAE1187B9B1D16,NC
AR2VJMU1187B9947AF,NC
ARUNHZF122988ED7DA,NC
ARQZRQ11187B9A5918,NC
ARRVGAX1187FB4D745,NC
AR37E341187B989A3E,NC
ARGIABO1187FB4B3B5,NC
AR6CFZ71187B99AE5B,NC
ARGSJW91187B9B1D6B,NC
ARIBU2J1187FB5B09F,NC
ARKVMRR122CC3B110A,NC
ARQMYTM1187FB4678C,NC
ARWPHQB11F4C83B42B,NC
AR2O3B51187B98CD94,NC
AR5ZJLK1187B9B3A8E,NC
ARBUHDB1187FB3E72C,ND
ARSC6WR1187FB40B18,ND
ARGCFSQ122988F7D0B,OH
ARUQSEE1187B9983F8,OH
ARCDXI51187FB57A2E,OH
ARA2ZTN1187B98E3ED,OH
ARHKOPH11F919A768B,OH
ARYNSN31187FB4C573,OH
AR4GJ3V1187FB4245B,OH
ARK9TRQ1187B99C095,OH
ARG1FA61187B994921,OH
ARYIQQN1187FB55196,OH
AR1BA6K1187B9A5656,OH
AR0XJ291187FB45855,OH
AR0ILWV1187FB47CAA,OH
ARGPFYP1187B98F5CB,OH
AR0B3RS1187FB48F5D,OH
ARLDW2Y1187B9B544F,OH
ARXBXVM11E9057944C,OH
ARF1FZV1187B98C928,OH
ARAVPU21187B993957,OH
ARTR7971187FB4CF69,OH
ARYXELS1187B9A5991,OH
ARFN2TE11A348EFFB4,OK
ARVNDLR1187B99CA1B,OK
ARG09R51187FB4D5C2,OK
ARAOADX1187B98AED3,OK
ARFRKCM1187B99A041,OK
AR7TTCH1187FB3F95C,OK
ARNNPJM1187FB3DB37,OK
ARXSPYZ1187B98972A,OK
ARV4BPJ1187B99C978,OK
AR47DOS1187B996105,OK
ARVCNOU1187FB4C6F0,OK
AR1XVTM1187B996D57,OR
AR4K59J1187FB3759B,OR
AR1ZNJO1187B993E46,OR
ARLMRES11F4C83E1E1,OR
ARXOUML1187FB48ACB,OR
AR8SBT41187B9A5FD9,PA
ARENXFQ1187B996F17,PA
ARR40ZV1187B9A10A8,PA
ARMAPSZ11F50C48146,PA
ARMVRLO11F4C846488,PA
AR6HEHH1187B9985F9,PA
ARCDCFY122ECCBCC6A,PA
AR9788H1187B9A05D1,PA
ARVAE1F1187B994957,PA
ARG53231187FB3982D,PA
ARVQ7I31187B9B64C9,PA
ARHZCG01187B99E4DE,PA
AR5RVV91187B9A4238,PA
AR8RXRI1187FB4104B,PA
ARPOV8N1187FB4D78F,PA
ARVGPOM1187FB55737,PA
AR3O66A1187FB39519,PA
ARGY96L1187FB410ED,PA
AR1518Q1187B98A906,PA
AR9YQN31187FB45B34,PA
AR6WICD1187B998708,PA
ARK2P961187B9AD524,PA
ARQ9BO41187FB5CF1F,PA
AREZBYP122C86758CC,PA
ARBV2AK1187FB5BA33,PA
ARLEYVQ122C86774EB,PA
ARYBP3U1187B9B3A4C,PA
ARZO73F1187FB4BF23,PA
ARS8KBY1187FB4BC7E,PA
AR4ABL21187FB3913A,PA
ARBJC9U1187B9A70AC,PA
AR84BEJ1187FB58F65,PA
ARL3X871187B996C0C,PA
ARZMWNY1187B99EBF1,RI
ARMEYJD1187B9A4522,RI
AR7SF1N1187B9A91D1,SC
ART59BB1187FB3866E,SC
AR4UJ7O1187B994010,SC
ARIIXHS11F50C48D0D,SC
ARDUWD61187FB58F58,SC
ARHTP2H1187B9A9A7F,SD
ARDW5AW1187FB55708,SD
AREZMPH11F4C83B364,TN
ARD94MR11C8A42B029,TN
ARPGYM11187FB4B1E1,TN
AR4PCIG1187B98D07D,TN
AR1BZED1187FB4CDEE,TN
AR4OU721187FB4549D,TN
AR1XZ0N1187B9941D5,TN
AROVY9L1187FB3A97C,TN
ARBKUS51187B98A3AC,TN
ARI6NMB1187FB3FE1E,TN
AR2FJV21187B98EBE3,TN
AR2C9UQ1187B98E69F,TN
ARAKX8D1187B98CCE2,TN
AR88F5X1187FB3EA17,TN
ARDK5LC1187B9AB681,TN
ARMJAGH1187FB546F3,TN
ARLWR721187B9A03C9,TN
ARH3TXI1187FB3A486,TN
ARYISOC1187B9998F1,TN
ARHNMEZ11F50C4706C,TN
ARF2EHS1187B994F4E,TN
AR6DGPH1187B998587,TN
